,Country,Crop,Model_Type,R2
215,Brazil,Avocados,lasso_400,0.425997585348607
216,Brazil,Bananas,mir_0.4_classic_linear_regression,0.5319143512609383
217,Brazil,Barley,mir_0.3_lasso_400,0.5855583186192025
218,Brazil,"Beans, dry",mir_0.4_classic_linear_regression,0.706976684096537
219,Brazil,"Cashew nuts, with shell",mir_0.5_classic_linear_regression,-0.006351545550833171
220,Brazil,Cassava,mir_0.3_lasso_400,0.7124652539509128
221,Brazil,Cereals (Rice Milled Eqv),mir_0.4_lasso_0.02,0.6018112678666359
222,Brazil,"Cocoa, beans",mir_0.5_classic_linear_regression,0.4718786383303363
223,Brazil,"Coffee, green",mir_0.5_classic_linear_regression,0.4932703739114409
224,Brazil,Grapes,mir_0.4_classic_linear_regression,0.6633448499869385
225,Brazil,Maize,mir_0.4_classic_linear_regression,0.6471940735749582
226,Brazil,"Oil, palm",mir_0.3_lasso_200,0.5001875547035526
227,Brazil,Oranges,mir_0.3_lasso_400,0.796926571482621
228,Brazil,Potatoes,lasso_0.02,0.46515888438669295
229,Brazil,"Rice, paddy",mir_0.3_classic_linear_regression,0.5849603668599224
230,Brazil,Rye,mir_0.3_lasso_400,0.46141393827470745
231,Brazil,Sesame seed,lasso_0.8,0.5792241075538446
232,Brazil,Soybeans,mir_0.4_classic_linear_regression,0.5787753159493145
233,Brazil,Sugar cane,mir_0.3_lasso_8,0.672563321279042
234,Brazil,Sweet potatoes,lasso_0.02,0.5779134596225171
235,Brazil,Tea,mir_0.4_lasso_0.02,0.6016061379859061
236,Brazil,"Tobacco, unmanufactured",mir_0.3_lasso_400,0.5546163884797941
237,Brazil,Tomatoes,mir_0.3_lasso_400,0.51296917588444
238,Brazil,Wheat,mir_0.4_classic_linear_regression,0.5707351686956785
239,Brazil,Yams,mir_0.3_lasso_400,0.4323471927563475
240,Bulgaria,Apples,mir_0.4_lasso_400,0.3596367462726471
241,Bulgaria,Barley,mir_0.5_classic_linear_regression,0.2820832051104061
242,Bulgaria,"Beans, dry",mir_0.4_classic_linear_regression,0.7248337623433105
243,Bulgaria,Cereals (Rice Milled Eqv),mir_0.3_lasso_400,0.4993588726327901
244,Bulgaria,Grapes,mir_0.4_classic_linear_regression,0.6198997072414082
245,Bulgaria,Maize,mir_0.4_classic_linear_regression,0.4868126118250877
246,Bulgaria,"Peas, dry",mir_0.4_classic_linear_regression,0.39722769539017544
247,Bulgaria,Potatoes,mir_0.3_lasso_400,0.4462608481696022
248,Bulgaria,"Rice, paddy",mir_0.5_classic_linear_regression,0.408206182519134
249,Bulgaria,Rye,mir_0.4_classic_linear_regression,0.7080577203871481
250,Bulgaria,Soybeans,mir_0.3_lasso_400,0.6314325646083826
251,Bulgaria,Sunflower seed,mir_0.5_classic_linear_regression,0.2932395805786958
252,Bulgaria,"Tobacco, unmanufactured",mir_0.2_lasso_200,0.4309608526420867
253,Bulgaria,Tomatoes,lasso_2,0.45218875308228557
254,Bulgaria,Wheat,mir_0.4_classic_linear_regression,0.3908004005392385
255,Burkina Faso,Cassava,lasso_0.8,0.5209240829251147
256,Burkina Faso,Cereals (Rice Milled Eqv),mir_0.5_classic_linear_regression,0.18203503701946122
257,Burkina Faso,Maize,lasso_0.02,0.4698136622095658
258,Burkina Faso,"Rice, paddy",mir_0.3_lasso_400,0.4796154291228528
259,Burkina Faso,Sesame seed,mir_0.5_classic_linear_regression,0.605369988075866
260,Burkina Faso,Sweet potatoes,mir_0.5_classic_linear_regression,0.05690719417830237
261,Burkina Faso,"Tobacco, unmanufactured",lasso_0.8,0.16521037180813525
262,Burkina Faso,Tomatoes,mir_0.5_classic_linear_regression,0.7856606739864219
263,Burkina Faso,Yams,mir_0.4_lasso_0.02,0.5956891072361188
264,Burundi,Bananas,mir_0.4_lasso_400,0.3524421274345928
265,Burundi,"Beans, dry",mir_0.3_lasso_400,0.35424010980402065
266,Burundi,Cassava,mir_0.4_classic_linear_regression,0.7316972412047686
267,Burundi,Cereals (Rice Milled Eqv),mir_0.4_lasso_400,0.40251314123050264
268,Burundi,"Coffee, green",mir_0.4_classic_linear_regression,0.5581656688277205
269,Burundi,Maize,mir_0.4_lasso_0.02,0.29453151764119645
270,Burundi,"Oil, palm",mir_0.4_classic_linear_regression,0.5690381358612628
271,Burundi,"Peas, dry",mir_0.2_lasso_400,0.357841262085802
272,Burundi,Potatoes,mir_0.3_lasso_400,0.43509870608472223
273,Burundi,"Rice, paddy",mir_0.4_classic_linear_regression,0.7117372980133225
274,Burundi,Soybeans,mir_0.3_lasso_400,0.6113752882044237
275,Burundi,Sweet potatoes,mir_0.4_lasso_0.02,0.6077575991621811
276,Burundi,"Tobacco, unmanufactured",mir_0.5_classic_linear_regression,0.40201911424809655
277,Burundi,Wheat,mir_0.3_lasso_20,0.3785993232043081
278,Burundi,Yams,mir_0.3_lasso_2,0.54171008369282
279,Cambodia,Bananas,mir_0.4_classic_linear_regression,0.3519592943790566
280,Cambodia,"Beans, dry",mir_0.5_classic_linear_regression,0.6086301280789077
281,Cambodia,Cassava,mir_0.4_lasso_400,0.5137581098660244
282,Cambodia,Cereals (Rice Milled Eqv),mir_0.4_lasso_400,0.4720325055085891
283,Cambodia,"Coffee, green",mir_0.4_classic_linear_regression,0.7440080609604833
284,Cambodia,Maize,mir_0.4_lasso_0.02,0.628014885401113
285,Cambodia,Oranges,mir_0.3_lasso_50,0.6191523286301515
286,Cambodia,"Rice, paddy",mir_0.3_lasso_400,0.5382227062283594
287,Cambodia,Sesame seed,mir_0.3_lasso_400,0.5881300976436943
288,Cambodia,Soybeans,mir_0.4_classic_linear_regression,0.7454031820352076
289,Cambodia,Sugar cane,mir_0.2_lasso_400,0.4683946764838015
290,Cambodia,Sweet potatoes,lasso_0.5,0.5477398570386398
291,Cambodia,"Tobacco, unmanufactured",mir_0.4_classic_linear_regression,0.6272481458741992
292,Cameroon,Avocados,mir_0.4_classic_linear_regression,0.12473084460742523
293,Cameroon,Bananas,mir_0.5_classic_linear_regression,0.5504378791850117
294,Cameroon,"Beans, dry",mir_0.5_classic_linear_regression,0.35642342678880523
295,Cameroon,Cassava,mir_0.3_lasso_400,0.6413955996405611
296,Cameroon,Cereals (Rice Milled Eqv),mir_0.5_classic_linear_regression,0.3936513806478389
297,Cameroon,"Cocoa, beans",mir_0.4_lasso_0.02,0.5761883430804945
298,Cameroon,"Coffee, green",mir_0.3_lasso_400,0.31947328758914384
299,Cameroon,Maize,mir_0.4_classic_linear_regression,0.609450222073044
300,Cameroon,"Oil, palm",lasso_0.8,0.5963719849848163
301,Cameroon,Potatoes,mir_0.4_classic_linear_regression,0.5682398860176716
302,Cameroon,"Rice, paddy",mir_0.5_classic_linear_regression,0.8515618908964626
303,Cameroon,Sesame seed,mir_0.2_lasso_400,0.5083279046828352
304,Cameroon,Sugar cane,mir_0.2_lasso_400,0.40932347465936714
305,Cameroon,Sweet potatoes,mir_0.4_classic_linear_regression,0.3864469936846372
306,Cameroon,Tea,mir_0.4_lasso_400,0.6319041934256238
307,Cameroon,"Tobacco, unmanufactured",mir_0.3_lasso_400,0.47112173127750845
308,Cameroon,Tomatoes,mir_0.4_lasso_0.02,0.6267961427915143
309,Cameroon,Yams,mir_0.5_classic_linear_regression,0.22404255411374996
310,Canada,Apples,mir_0.2_lasso_400,0.4590203396204495
311,Canada,Barley,mir_0.3_lasso_400,0.46378041618216415
312,Canada,"Beans, dry",mir_0.4_classic_linear_regression,0.33726317822290885
313,Canada,Cereals (Rice Milled Eqv),lasso_2,0.4521883640217579
314,Canada,Grapes,mir_0.5_classic_linear_regression,0.21272658650250642
315,Canada,Maize,lasso_2,0.5605940341236959
316,Canada,"Peas, dry",mir_0.5_classic_linear_regression,0.588611208994817
317,Canada,Potatoes,mir_0.4_classic_linear_regression,0.5463157831716288
318,Canada,Rapeseed,mir_0.5_classic_linear_regression,0.4463949978133466
319,Canada,Rye,mir_0.3_lasso_400,0.5732331939437338
320,Canada,Soybeans,mir_0.3_lasso_2,0.5255038748675049
321,Canada,Sugar beet,lasso_0.8,0.34445104465774956
322,Canada,Sunflower seed,mir_0.4_lasso_400,0.6387352851899772
323,Canada,"Tobacco, unmanufactured",mir_0.4_classic_linear_regression,0.6118671307046146
324,Canada,Tomatoes,mir_0.4_classic_linear_regression,0.6444536786515187
325,Canada,Wheat,mir_0.3_lasso_400,0.45795810993726693
326,Central African Republic,Avocados,mir_0.3_lasso_400,-0.28237882737459397
327,Central African Republic,Bananas,mir_0.4_lasso_400,0.626037280409212
328,Central African Republic,Cassava,mir_0.3_lasso_400,0.24773507927886862
329,Central African Republic,Cereals (Rice Milled Eqv),mir_0.4_classic_linear_regression,0.38560007328591717
330,Central African Republic,"Cocoa, beans",lasso_2,0.4809215553661593
331,Central African Republic,"Coffee, green",mir_0.4_classic_linear_regression,0.4215301606088391
332,Central African Republic,Maize,mir_0.4_classic_linear_regression,0.7741188850027092
333,Central African Republic,"Oil, palm",mir_0.4_classic_linear_regression,0.3947706028664675
334,Central African Republic,Oranges,mir_0.4_lasso_400,0.43448115421500155
335,Central African Republic,Potatoes,mir_0.4_classic_linear_regression,0.4967173076390303
336,Central African Republic,"Rice, paddy",mir_0.4_classic_linear_regression,0.7185612106350179
337,Central African Republic,Sesame seed,mir_0.5_classic_linear_regression,0.352760839507
338,Central African Republic,"Tobacco, unmanufactured",mir_0.4_lasso_400,0.39178531419221874
339,Central African Republic,Yams,mir_0.5_classic_linear_regression,0.603045700088044
340,Chad,"Beans, dry",mir_0.4_lasso_0.02,0.5464749087105049
341,Chad,Cassava,mir_0.5_classic_linear_regression,0.5688623160449293
342,Chad,Cereals (Rice Milled Eqv),mir_0.3_lasso_400,0.5523523572719259
343,Chad,Maize,mir_0.3_lasso_400,0.5102854682307021
344,Chad,Potatoes,lasso_0.02,0.5003274670051772
345,Chad,"Rice, paddy",mir_0.3_lasso_0.02,0.6272875472347779
346,Chad,Sesame seed,mir_0.5_classic_linear_regression,0.5149711318907532
347,Chad,Sugar cane,mir_0.3_lasso_400,0.4147661440804493
348,Chad,Sweet potatoes,lasso_0.02,0.2078778884811987
349,Chad,Wheat,mir_0.4_lasso_30,0.5961375522513934
350,Chad,Yams,mir_0.3_lasso_400,0.7131038307620177
351,Chile,Apples,mir_0.3_lasso_400,0.3853326238930104
352,Chile,Avocados,mir_0.3_lasso_400,0.5202016522924453
353,Chile,Barley,mir_0.4_classic_linear_regression,0.6510020526833058
354,Chile,"Beans, dry",lasso_200,0.44570169389039693
355,Chile,Cereals (Rice Milled Eqv),mir_0.4_classic_linear_regression,0.7512018078498284
356,Chile,Grapes,mir_0.3_lasso_20,0.607643062437891
357,Chile,Maize,lasso_8,0.4541758267237148
358,Chile,Oranges,mir_0.4_classic_linear_regression,0.6831047134830539
359,Chile,"Peas, dry",mir_0.3_lasso_8,0.5656549394664387
360,Chile,Potatoes,mir_0.3_lasso_400,0.563354479965495
361,Chile,Rapeseed,lasso_0.5,0.6628493612557061
362,Chile,"Rice, paddy",mir_0.4_lasso_0.02,0.42027667351180253
363,Chile,Rye,mir_0.3_lasso_0.02,0.5595882784206725
364,Chile,Sugar beet,mir_0.2_lasso_400,0.47116937265357217
365,Chile,Sunflower seed,mir_0.3_lasso_0.02,0.6066517781862286
366,Chile,Sweet potatoes,mir_0.2_lasso_400,0.4220896966062594
367,Chile,"Tobacco, unmanufactured",mir_0.4_lasso_400,0.4777455336296079
368,Chile,Tomatoes,mir_0.4_lasso_200,0.3606819673790602
369,Chile,Wheat,mir_0.4_lasso_400,0.37527699386265
370,China,Apples,mir_0.4_classic_linear_regression,0.6658570848588565
371,China,Bananas,mir_0.4_lasso_50,0.3826424579841857
372,China,Barley,mir_0.3_lasso_400,0.46663223869697457
373,China,"Beans, dry",lasso_200,0.3019086801455506
374,China,"Cashew nuts, with shell",mir_0.4_lasso_0.02,0.39742178213937684
375,China,Cassava,mir_0.4_classic_linear_regression,0.6192949949219482
